Date,Open,High,Low,Close,Adj Close,Volume
10/8/1990,311.5,315.03,311.5,313.48,313.48,99470000
10/9/1990,313.46,313.46,305.09,305.1,305.1,145610000
#########,305.09,306.43,299.21,300.39,300.39,169190000
#########,300.39,301.45,294.51,295.46,295.46,180060000
#########,295.45,301.68,295.22,300.03,300.03,187940000
#########,300.03,304.79,296.41,303.23,303.23,164980000
#########,303.23,304.34,298.12,298.92,298.92,149570000
#########,298.92,301.5,297.79,298.76,298.76,161260000
#########,298.75,305.74,298.75,305.74,305.74,204110000
#########,305.74,312.48,305.74,312.48,312.48,221480000
#########,312.48,315.83,310.47,314.76,314.76,152650000
#########,314.76,315.06,312.06,312.36,312.36,146300000
#########,312.36,313.51,310.74,312.6,312.6,149290000
#########,312.6,313.71,309.7,310.17,310.17,141460000
#########,310.17,310.17,304.71,304.71,304.71,130190000
#########,304.74,307.41,300.69,301.88,301.88,133980000
#########,301.88,304.36,299.44,304.06,304.06,153450000
#########,304.06,305.7,302.33,304,304,156060000
11/1/1990,303.99,307.27,301.61,307.02,307.02,159270000
11/2/1990,307.02,311.94,306.88,311.85,311.85,168700000
11/5/1990,311.85,314.61,311.41,314.59,314.59,147510000
11/6/1990,314.59,314.76,311.43,311.62,311.62,142660000
11/7/1990,311.62,311.62,305.79,306.01,306.01,149130000
11/8/1990,306.01,309.77,305.03,307.61,307.61,155570000
11/9/1990,307.61,313.78,307.61,313.74,313.74,145160000
#########,313.74,319.77,313.73,319.48,319.48,161390000
#########,319.48,319.48,317.26,317.67,317.67,160240000
#########,317.66,321.7,317.23,320.4,320.4,179310000
#########,320.4,320.4,316.13,317.02,317.02,151370000
#########,317.02,318.8,314.99,317.12,317.12,165440000
#########,317.15,319.39,317.15,319.34,319.34,140950000
#########,319.34,319.34,315.31,315.31,315.31,161170000
#########,315.31,316.15,312.42,316.03,316.03,140660000
#########,316.03,317.3,315.06,315.1,315.1,63350000
#########,315.08,316.51,311.48,316.51,316.51,131540000
#########,316.51,318.69,315.8,318.1,318.1,147590000
#########,318.11,319.96,317.62,317.95,317.95,145490000
#########,317.95,317.95,315.03,316.42,316.42,140920000
#########,316.42,323.02,315.42,322.22,322.22,192350000
12/3/1990,322.23,324.9,322.23,324.1,324.1,177000000
12/4/1990,324.11,326.77,321.97,326.35,326.35,185820000
12/5/1990,326.36,329.92,325.66,329.92,329.92,205820000
12/6/1990,329.94,333.98,328.37,329.07,329.07,256380000
12/7/1990,329.09,329.39,326.39,327.75,327.75,164950000
#########,327.75,328.97,326.15,328.89,328.89,138650000
#########,328.88,328.88,325.65,326.44,326.44,145330000
#########,326.44,330.36,326.44,330.19,330.19,182270000
#########,330.14,330.58,328.77,329.34,329.34,162110000
#########,329.34,329.34,325.16,326.82,326.82,151010000
#########,326.82,326.82,324.46,326.02,326.02,118560000
#########,326.02,330.43,325.75,330.05,330.05,176460000
#########,330.04,330.8,329.39,330.2,330.2,180380000
#########,330.2,330.74,326.94,330.12,330.12,174700000
#########,330.12,332.47,330.12,331.75,331.75,233400000
#########,331.74,331.74,329.16,329.9,329.9,57200000
#########,329.89,331.69,329.89,330.85,330.85,78730000
#########,330.85,331.04,328.23,328.29,328.29,102900000
#########,328.29,328.72,327.24,328.72,328.72,111030000
#########,328.71,330.23,327.5,330.22,330.22,114130000
1/2/1991,330.2,330.75,326.45,326.45,326.45,126280000
1/3/1991,326.46,326.53,321.9,321.91,321.91,141450000
1/4/1991,321.91,322.35,318.87,321,321,140820000
1/7/1991,320.97,320.97,315.44,315.44,315.44,130610000
1/8/1991,315.44,316.97,313.79,314.9,314.9,143390000
1/9/1991,314.9,320.73,310.93,311.49,311.49,191100000
1/10/1991,311.51,314.77,311.51,314.53,314.53,124510000
1/11/1991,314.53,315.24,313.59,315.23,315.23,123050000
1/14/1991,315.23,315.23,309.35,312.49,312.49,120830000
1/15/1991,312.49,313.73,311.84,313.73,313.73,110000000
1/16/1991,313.73,316.94,312.94,316.17,316.17,134560000
1/17/1991,316.25,327.97,316.25,327.97,327.97,319080000
1/18/1991,327.93,332.23,327.08,332.23,332.23,226770000
1/21/1991,332.23,332.23,328.87,331.06,331.06,136290000
1/22/1991,331.06,331.26,327.83,328.31,328.31,177060000
1/23/1991,328.3,331.04,327.93,330.21,330.21,168620000
1/24/1991,330.21,335.83,330.19,334.78,334.78,223150000
1/25/1991,334.78,336.92,334.2,336.07,336.07,194350000
1/28/1991,336.06,337.41,335.81,336.03,336.03,141270000
1/29/1991,336.03,336.03,334.26,335.84,335.84,155740000
1/30/1991,335.8,340.91,335.71,340.91,340.91,226790000
1/31/1991,340.92,343.93,340.47,343.93,343.93,204520000
2/1/1991,343.91,344.9,340.37,343.05,343.05,246670000
2/4/1991,343.05,348.71,342.96,348.34,348.34,250750000
2/5/1991,348.34,351.84,347.21,351.26,351.26,290570000
2/6/1991,351.26,358.07,349.58,358.07,358.07,276940000
2/7/1991,358.07,363.43,355.53,356.52,356.52,292190000
2/8/1991,356.52,359.35,356.02,359.35,359.35,187830000
2/11/1991,359.36,368.58,359.32,368.58,368.58,265350000
2/12/1991,368.58,370.54,365.5,365.5,365.5,256160000
2/13/1991,365.5,369.49,364.64,369.02,369.02,209960000
2/14/1991,369.02,370.26,362.77,364.22,364.22,230750000
2/15/1991,364.23,369.49,364.23,369.06,369.06,228480000
2/19/1991,369.06,370.11,367.05,369.39,369.39,189900000
2/20/1991,369.37,369.37,364.38,365.14,365.14,185680000
2/21/1991,365.14,366.79,364.5,364.97,364.97,180770000
2/22/1991,364.97,370.96,364.23,365.65,365.65,218760000
2/25/1991,365.65,370.19,365.16,367.26,367.26,193820000
2/26/1991,367.26,367.26,362.19,362.81,362.81,164170000
2/27/1991,362.81,368.38,362.81,367.74,367.74,211410000
2/28/1991,367.73,369.91,365.95,367.07,367.07,223010000
3/1/1991,367.07,370.47,363.73,370.47,370.47,221510000
3/4/1991,370.47,371.99,369.07,369.33,369.33,199830000
3/5/1991,369.33,377.89,369.33,376.72,376.72,253700000
3/6/1991,376.72,379.66,375.02,376.17,376.17,262290000
3/7/1991,376.16,377.49,375.58,375.91,375.91,197060000
3/8/1991,375.91,378.69,374.43,374.95,374.95,206850000
3/11/1991,374.94,375.1,372.52,372.96,372.96,161600000
3/12/1991,372.96,374.35,369.55,370.03,370.03,176440000
3/13/1991,370.03,374.65,370.03,374.57,374.57,176000000
3/14/1991,374.59,378.28,371.76,373.5,373.5,232070000
3/15/1991,373.5,374.58,370.21,373.59,373.59,237650000
3/18/1991,373.59,374.09,369.46,372.11,372.11,163100000
3/19/1991,372.11,372.11,366.54,366.59,366.59,177070000
3/20/1991,366.59,368.85,365.8,367.92,367.92,196810000
3/21/1991,367.94,371.01,366.51,366.58,366.58,199830000
3/22/1991,366.58,368.22,365.58,367.48,367.48,160890000
3/25/1991,367.48,371.31,367.46,369.83,369.83,153920000
3/26/1991,369.83,376.3,369.37,376.3,376.3,198720000
3/27/1991,376.28,378.48,374.73,375.35,375.35,201830000
3/28/1991,375.35,376.6,374.4,375.22,375.22,150750000
4/1/1991,375.22,375.22,370.27,371.3,371.3,144010000
4/2/1991,371.3,379.5,371.3,379.5,379.5,189530000
4/3/1991,379.5,381.56,378.49,378.94,378.94,213720000
4/4/1991,378.94,381.88,377.05,379.77,379.77,198120000
4/5/1991,379.78,381.12,374.15,375.36,375.36,187410000
4/8/1991,375.35,378.76,374.69,378.66,378.66,138580000
4/9/1991,378.65,379.02,373.11,373.56,373.56,169940000
4/10/1991,373.57,374.83,371.21,373.15,373.15,167940000
4/11/1991,373.15,379.53,373.15,377.63,377.63,196570000
4/12/1991,377.65,381.07,376.89,380.4,380.4,198610000
4/15/1991,380.4,382.32,378.78,381.19,381.19,161800000
4/16/1991,381.19,387.62,379.64,387.62,387.62,214480000
4/17/1991,387.62,391.26,387.3,390.45,390.45,246930000
4/18/1991,390.45,390.97,388.13,388.46,388.46,217410000
4/19/1991,388.46,388.46,383.9,384.2,384.2,195520000
4/22/1991,384.19,384.19,380.16,380.95,380.95,164410000
4/23/1991,380.95,383.55,379.67,381.76,381.76,167840000
4/24/1991,381.76,383.02,379.99,382.76,382.76,166800000
4/25/1991,382.89,382.89,378.43,379.25,379.25,166940000
4/26/1991,379.25,380.11,376.77,379.02,379.02,154550000
4/29/1991,379.01,380.96,373.66,373.66,373.66,149860000
4/30/1991,373.66,377.86,373.01,375.34,375.34,206230000
5/1/1991,375.35,380.46,375.27,380.29,380.29,181900000
5/2/1991,380.29,382.14,379.82,380.52,380.52,187090000
5/3/1991,380.52,381,378.82,380.8,380.8,158150000
5/6/1991,380.78,380.78,377.86,380.08,380.08,129110000
5/7/1991,380.08,380.91,377.31,377.32,377.32,153290000
5/8/1991,377.33,379.26,376.21,378.51,378.51,157240000
